gene_id	WT_VLCO2_1	WT_VLCO2_0	WT_LoCO2_0	WT_LoCO2_1	WT_HiCO2_0	WT_HiCO2_1	cia5_VLCO2_0	cia5_VLCO2_1	cia5_LoCO2_0	cia5_LoCO2_1	cia5_HiCO2_0	cia5_HiCO2_1
Cre01.g000017	1.38799	1.01689	1.32827	1.91663	0.98516	0.425675	0.401364	0.623841	0.57915	0.331207	0.520093	0.251401
Cre01.g000033	0.88935	1.47108	1.62151	1.40447	0.531886	0.281014	0.119224	0.196418	0.0409608	0.0655484	0	0.0829759
Cre01.g000050	1.37792	1.91059	2.00838	1.57641	2.48265	2.76624	1.71265	2.04393	2.6799	2.65688	2.67774	3.25076
Cre01.g000100	2.17338	1.96391	2.28331	1.69717	2.01762	1.16588	1.92939	2.1771	1.74142	1.62637	1.47145	1.14933
Cre01.g000150	15.2937	9.6188	11.3494	13.774	11.3691	5.66748	1.86705	1.83816	6.00087	5.67134	11.0412	9.51466
Cre01.g000200	6.08901	7.22494	7.82021	5.77964	3.59184	3.2781	3.83882	4.31782	3.75542	4.21168	3.70095	4.17733
Cre01.g000250	16.9888	18.0118	19.8184	21.8381	22.9352	22.3978	20.8489	21.6801	22.0229	26.463	28.4562	22.9676
Cre01.g000300	17.3404	17.0311	14.3796	23.519	12.5529	13.3935	28.7397	27.5173	15.5804	19.3144	16.0036	13.1571
Cre01.g000350	83.8169	51.2468	65.5295	65.8908	49.6477	42.5322	43.5802	56.506	54.0618	70.1579	81.3193	66.613
Cre01.g000400	7.96191	6.95462	8.11006	9.07815	8.34636	7.37456	11.827	9.86932	11.9239	11.5275	8.35459	11.9876
Cre01.g000450	8.90319	6.43026	6.55468	10.129	10.094	11.8817	8.63298	8.94132	8.55918	8.37459	10.0563	9.85435
Cre01.g000500	5.33808	3.47239	3.99379	5.82962	9.70066	8.84836	10.9517	13.1068	9.70039	13.1925	12.1595	8.66406
Cre01.g000550	0.0477386	0.182835	0.12936	0	0.0785005	0.0622228	0.234649	0.298141	0.241849	0.0773851	0.130197	0.195969
Cre01.g000600	7.2782	3.84676	3.62173	10.4939	12.6024	20.0097	13.8411	13.0852	20.0687	21.926	25.4248	28.3272
Cre01.g000650	13.1143	3.52857	1.15702	8.4242	0.947309	2.8047	55.741	43.4037	14.6268	12.3187	4.08969	4.64273
Cre01.g000700	1.21867	0.943432	0.815057	0.486944	0.994897	0.720988	0.790191	1.24155	0.788164	0.903714	0.825056	1.09102
Cre01.g000750	4.03523	4.39961	2.83158	2.86915	3.11954	3.06047	2.65986	2.97814	2.3397	2.55217	2.3325	2.36981
Cre01.g000800	2.98773	2.72383	4.25191	4.45563	4.39709	5.03248	5.35811	6.60803	7.2321	8.36329	10.0957	10.754
Cre01.g000850	50.7686	46.1418	56.9441	67.2436	87.5586	69.0193	86.7869	92.4622	84.1691	88.7808	101.807	99.596
Cre01.g000900	36.4389	33.3598	32.0718	26.1981	25.9761	28.5978	41.8129	47.9421	28.3514	36.9848	35.9427	25.425
Cre01.g000950	0.899211	1.42517	1.91585	0.524077	1.12182	0.538868	0.243859	0.559499	0.816859	0.552965	0.676611	0.636439
Cre01.g001000	2.42961	1.09336	0.790043	2.00761	0.639236	2.28008	1.57638	1.36563	1.62474	1.2997	0.728894	1.04723
Cre01.g001100	39.7918	34.479	38.1397	48.7369	37.7082	52.7372	31.6765	34.0354	35.483	46.0504	52.5198	51.0384
Cre01.g001150	2.2621	2.34235	2.02125	1.39582	1.81152	1.24356	1.07101	1.75507	1.22548	1.48135	1.45175	1.01385
Cre01.g001200	2.34794	4.38988	4.04522	1.65822	5.73003	3.60089	2.32783	2.08136	1.70794	1.78061	1.97896	1.28714
Cre01.g001250	1.55701	2.15504	2.31762	0.854306	2.22065	1.36109	0.350374	0.344872	0.408641	0.349614	0.690508	0.327269
Cre01.g001300	0.166855	0.149423	0.12249	0.17689	0.401155	0.257234	0.338625	0.336039	0.305388	0.248582	0.347302	0.160183
Cre01.g001350	1.73202	1.92035	1.44928	1.54075	1.83224	2.03309	1.165	1.32854	1.601	1.67492	2.18255	1.6216
Cre01.g001400	5.57179	1.31538	0.620443	4.12096	2.27996	3.29954	3.47023	3.85281	2.64869	2.53616	1.97739	1.21411
Cre01.g001450	7.95717	1.03906	0.901801	3.15848	0.912076	2.57714	2.73789	3.28858	2.19888	2.37504	1.87462	1.8931
Cre01.g001501	0.906083	0.799063	0.697813	0.403011	1.04558	0.725172	1.03137	1.12513	1.18382	0.908322	1.58241	0.978817
Cre01.g001550	18.8164	16.1126	18.621	20.9308	35.4406	29.3423	61.7119	70.776	64.1591	66.1467	78.9495	64.3838
Cre01.g001600	3.21953	6.82187	6.72019	2.89445	4.61879	2.47019	4.61289	3.23288	3.22746	3.35958	3.5191	2.84718
Cre01.g001650	1.30053	0.889658	0.604279	0.348908	1.12047	0.605399	0.821927	1.25749	1.12953	1.12982	1.35174	1.00106
Cre01.g001657	39.5596	18.8657	19.5621	19.0651	20.3295	19.7523	16.5982	14.0203	18.2815	18.7473	21.4292	24.8023
Cre01.g001664	4.91192	3.46815	3.70046	3.36145	6.70933	7.59587	3.76489	4.18967	4.80833	4.9611	7.98722	8.62966
Cre01.g001671	0	0.0626462	0.141836	0.122819	0.0717261	0.0568283	0	0	0	0	0	0
Cre01.g001678	8.70032	7.8431	7.39337	6.13072	7.05562	6.44945	4.02661	3.83553	4.24376	3.69379	3.72319	4.06078
Cre01.g001685	0	0	0	0	0	0	0	0	0	0	0	0
Cre01.g001700	1.30365	1.69376	1.49132	0.748065	1.78048	0.952979	2.49185	2.67017	1.88692	2.02052	2.17225	1.42278
Cre01.g001750	19.8952	17.6713	18.63	27.0571	50.6774	47.7596	39.2039	37.8496	47.0969	51.7958	55.1138	64.7557
Cre01.g001800	6.31854	7.04214	6.16391	7.07216	6.59434	5.33668	7.42897	6.68222	6.60696	6.71922	7.12294	6.95136
Cre01.g001950	7.26569	5.90478	5.40717	3.76153	5.21041	3.92457	5.13511	5.69739	4.97431	5.41287	5.39273	4.83679
Cre01.g001983	65.5348	43.9386	43.766	58.9515	25.0112	31.397	44.2153	55.0734	38.431	41.9305	52.9175	44.9091
Cre01.g002050	13.1204	7.16675	5.97975	7.8959	4.64216	6.39998	6.30255	8.13278	5.64994	8.29067	7.50979	5.50843
Cre01.g002100	3.20418	2.79838	3.33215	2.92736	3.18024	2.95354	1.31954	1.47222	2.23747	2.68465	3.91653	3.33274
Cre01.g002150	4.79978	1.36754	0.903064	4.1717	0.782874	4.75668	3.31473	2.97363	2.65276	2.3155	1.40679	2.97187
Cre01.g002200	21.4751	16.0143	15.5969	14.9921	27.1445	26.2058	22.1241	19.6553	30.7507	26.5946	43.5121	54.3386
Cre01.g002201	0.983383	0.884992	0.904896	0.16797	1.70013	1.60662	0.615497	0.682458	0.876051	0.942979	1.62561	0.856727
Cre01.g002203	0.192825	0.092313	0.0522511	0.045265	0.0528464	0.125665	0.213253	0.183983	0.341905	0.195359	0.131473	0.272097
Cre01.g002227	2.30626	3.42984	2.43493	2.50747	4.92534	2.21494	3.22203	3.70845	3.38239	4.0362	5.46571	6.10436
Cre01.g002234	0.935261	2.06896	1.52113	1.64905	1.9943	1.48295	2.40091	1.78542	1.73745	2.43303	2.26854	3.19974
Cre01.g002250	18.0543	12.4269	11.0969	15.6661	12.7257	12.5364	23.6125	32.1966	22.2545	35.5478	28.1081	23.5748
Cre01.g002300	487.307	491.054	447.865	648.553	583.356	775.56	553.246	566.6	564.063	645.333	828.453	967.812
Cre01.g002350	9.07347	11.549	9.59032	7.41938	8.53895	8.01569	5.87234	5.14318	6.58881	5.97667	8.28504	8.8464
Cre01.g002400	17.7793	12.3678	14.3209	9.55955	11.8138	9.48744	19.0031	18.7015	18.39	16.9961	12.7538	17.2637
Cre01.g002451	6.8632	8.08671	8.64116	4.5926	6.92246	6.03224	14.969	16.4929	13.9894	13.056	12.4187	9.14938
Cre01.g002500	308.693	197.797	290.494	424.861	560.875	395.626	712.029	758.469	595.447	665.588	586.131	498.056
Cre01.g002550	9.61966	8.92788	6.34948	5.92931	6.03887	4.9733	6.39255	6.91802	4.68287	4.72625	4.32398	3.97099
Cre01.g002600	0.193039	0.110915	0.125561	0.181261	0.084661	0.167739	0.0759097	0.0267975	0.0782387	0.0625998	0.140429	0.118868
